address,count,first,last,perc,cumulative,cumulative_perc,label
0xd1e56c2e765180aa0371928fd4d1e41fbcda34d4,3157,133238,2368531,0.02,14199636,97.46,weipool
0xf8e0ca3ed80bd541b94bedcf259e8cf2141a9523,3133,9001,150802,0.02,14202769,97.48,
0x5b56f09e7d6272fc014f8526a5290700c5bb302b,3072,13549917,14569851,0.02,14205841,97.5,
0xb8f82b073479c9afe33463852d7778554a405453,3036,4909346,6926074,0.02,14208877,97.52,
0xff1b891969773159366ab6310ff63a69ac4acffd,3034,6624061,11582082,0.02,14211911,97.54,baikalmine
0x608f4b86321a68453f9adf6f06f7fc3e621739ad,2958,99609,170373,0.02,14214869,97.56,
0x6a851246689eb8fc77a9bf68df5860f13f679fa0,2819,4677568,14567621,0.02,14217688,97.58,zettechnologies
0x914d0e134b92986a55e49cc23ddf39ec6d971dcd,2817,5861057,6841285,0.02,14220505,97.6,
0xe48430c4e88a929bba0ee3dce284866a9937b609,2814,253776,524603,0.02,14223319,97.62,
0xa50ec0d39fa913e62f1bae7074e6f36caa71855b,2762,9701,341148,0.02,14226081,97.64,
0x2ea1e928e4af14910e141896ece96c812094e3f9,2754,5310831,5593431,0.02,14228835,97.66,
0x1b0fef50fdda7867e5b632a65013acab514b9ec3,2715,8474927,9114829,0.02,14231550,97.68,
0xa3c084ae80a3f03963017669bc696e961d3ae5d5,2703,4950872,11886202,0.02,14234253,97.7,uleypool
0xb12d3c37869c203ad576b253c891975d278c7e5b,2688,1496787,1896968,0.02,14236941,97.71,
0x26b3eea1cd34a4aff7ce828a5f71daac042d38e0,2659,13374104,14569686,0.02,14239600,97.73,luxortechnologymining
0xadf055c6222d75c5f7fe90e021f481e8c55f0afd,2654,5385340,9158929,0.02,14242254,97.75,
0x5dcb78343780e1b1e578ae0590dc1e868792a435,2620,12966433,14568409,0.02,14244874,97.77,
0xab7f2baf977f02beb242af077a51ce9fa2cf83d2,2612,5593602,5901852,0.02,14247486,97.79,
0xb6e2d440c46510ec44266a3f58165e3956173df0,2605,92159,2601542,0.02,14250091,97.8,
0x8565fc13217af7482adb7180c5ef6c2c458842ce,2546,10681472,11505713,0.02,14252637,97.82,
0xa5a57098907037cd613d46c2c2ca3e65752d906e,2544,141914,2568716,0.02,14255181,97.84,
0x623d2411c3bb3340784155f9a688b0085251ab5c,2472,100376,516954,0.02,14257653,97.86,
0x0c729be7c39543c3d549282a40395299d987cec2,2440,947972,1364059,0.02,14260093,97.87,
0x94ce84a93056cca150d4436d3f7e9b20d6a9a2f7,2423,1422070,2283371,0.02,14262516,97.89,
0x45ddbabcf2cce1aadbd04f5b8745579f3aa2949c,2305,10860519,11279502,0.02,14264821,97.91,
0xcc22cb1b6625b64e81909456111d76be6158dfbc,2304,7843429,8612467,0.02,14267125,97.92,ezilpool
0xa6bdc31c431b8f97848c9d60cbbe9660dc450eb7,2280,74206,1123890,0.02,14269405,97.94,
0xfa927f196a46067ca3aee3edcaaabce7ef77bb26,2251,4100668,6071024,0.02,14271656,97.95,
0x5be1bfc0b1f01f32178d46abf70bb5ff5c4e425a,2245,4447128,14518624,0.02,14273901,97.97,
0xb6cf40aee9990c25d7d6193952af222e120b31c2,2121,6489119,10756122,0.01,14276022,97.98,fkpool
0x6c3183792fbb4a4dd276451af6baf5c66d5f5e48,2106,4900081,12653988,0.01,14278128,98,maxhash
